Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.5,True,False,False,False,True
Honda Jazz V,Chennai,2011,46000,First,13 km/kg,1199 CC,88.7 bhp,5.0,8.61 Lakh,4.5,False,False,True,False,True
Maruti Ertiga VDI,Chennai,2012,87000,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,6.0,True,False,False,False,True
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,,17.74,True,False,False,True,False
Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.5,True,False,False,False,True
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36 kmpl,2755 CC,171.5 bhp,8.0,21 Lakh,17.5,True,False,False,True,False
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.2,True,False,False,False,True
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3 kmpl,1248 CC,74 bhp,5.0,,1.95,True,False,False,False,True
Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,10.65 Lakh,9.95,False,False,True,False,True
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.49,False,False,True,True,False
Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2 kmpl,1248 CC,74 bhp,5.0,,5.6,True,False,False,False,True
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,27.0,True,False,False,True,False
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0 kmpl,2179 CC,115 bhp,5.0,,17.5,True,False,False,True,False
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,32.01 Lakh,15.0,True,False,False,False,True
Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.4,True,False,False,False,True
Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4 kmpl,1248 CC,74 bhp,5.0,,5.99,True,False,False,False,True
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.34,True,False,False,False,True
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84 kmpl,2143 CC,167.62 bhp,5.0,,28.0,True,False,False,True,False
BMW 3 Series 320d,Kochi,2014,32982,First,22.69 kmpl,1995 CC,190 bhp,5.0,47.87 Lakh,18.55,True,False,False,True,False
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,,8.25,True,False,False,False,True
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,,23.5,False,False,True,True,False
Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5 kmpl,1197 CC,80 bhp,5.0,,1.87,False,False,True,False,True
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4 kmpl,1598 CC,103.6 bhp,5.0,,2.85,False,False,True,True,False
Honda City Corporate Edition,Mumbai,2012,51920,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.25,False,False,True,False,True
Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48 km/kg,1461 CC,63.1 bhp,5.0,,4.25,True,False,False,False,True
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.75,False,False,True,False,True
Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,10.57 Lakh,9.9,False,False,True,False,True
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7.0,,4.0,True,False,False,False,True
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,7.75,True,False,False,False,True
Toyota Corolla Altis G,Delhi,2012,87615,First,14.53 kmpl,1798 CC,138.1 bhp,5.0,,6.75,False,False,True,False,True
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18 kmpl,2696 CC,184 bhp,7.0,,12.5,True,False,False,True,False
Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,,11.5,True,False,False,True,False
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09 kmpl,1598 CC,103.5 bhp,5.0,12.33 Lakh,6.98,False,False,True,False,True
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0 kmpl,1061 CC,64 bhp,5.0,,1.85,False,False,True,False,True
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.12 Lakh,8.63,True,False,False,False,True
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15 kmpl,1198 CC,82 bhp,5.0,,4.85,False,False,True,False,True
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74 kmpl,2987 CC,254.8 bhp,5.0,,28.0,True,False,False,True,False
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,5.0,True,False,False,False,True
Maruti Alto LXi,Delhi,2008,90000,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.25,False,False,True,False,True
Tata Nano LX SE,Kochi,2014,19698,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,1.53,False,False,True,False,True
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.58,True,False,False,False,True
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,,4.74,False,False,True,False,True
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62 kmpl,1999 CC,149.92 bhp,5.0,23.64 Lakh,8.85,False,False,True,True,False
Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,10.11,False,False,True,True,False
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9 kmpl,1991 CC,112.2 bhp,5.0,,4.25,True,False,False,False,True
